ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,Movie (1 eps),Oct 2015 - Oct 2015,"31,789",7.81
Beastars,TV (12 eps),Oct 2019 - Dec 2019,"868,217",7.81
Bungou Stray Dogs,TV (12 eps),Apr 2016 - Jun 2016,"1,416,329",7.81
Capeta,TV (52 eps),Oct 2005 - Sep 2006,"28,047",7.81
Eikoku Koi Monogatari Emma: Molders-hen,TV (12 eps),Apr 2007 - Jul 2007,"28,204",7.81
Enen no Shouboutai: Ni no Shou,TV (24 eps),Jul 2020 - Dec 2020,"785,819",7.81
Goku Sayonara Zetsubou Sensei,OVA (3 eps),Oct 2008 - Feb 2009,"65,389",7.81
Baby Steps,TV (25 eps),Apr 2014 - Sep 2014,"148,226",7.80
Blue Period,TV (12 eps),Oct 2021 - Dec 2021,"474,449",7.80
Break Blade Movie 5: Shisen no Hate,Movie (1 eps),Jan 2011 - Jan 2011,"55,999",7.80
City Hunter 3,TV (13 eps),Oct 1989 - Jan 1990,"22,491",7.80
Flanders no Inu (Movie),Movie (1 eps),Mar 1997 - Mar 1997,"22,850",7.80
Go! Princess Precure,TV (50 eps),Feb 2015 - Jan 2016,"19,458",7.80
Hidamari Sketch x ☆☆☆ Specials,Special (2 eps),Oct 2010 - Oct 2010,"15,667",7.80
InuYasha Movie 3: Tenka Hadou no Ken,Movie (1 eps),Dec 2003 - Dec 2003,"103,043",7.80
Slayers Try,TV (26 eps),Apr 1997 - Sep 1997,"56,049",7.80
Sonny Boy,TV (12 eps),Jul 2021 - Oct 2021,"319,718",7.80
Yamada-kun to Lv999 no Koi wo Suru,TV (13 eps),Apr 2023 - Jun 2023,"421,867",7.80
Jungle wa Itsumo Hare nochi Guu,TV (26 eps),Apr 2001 - Sep 2001,"34,892",7.80
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,Special (1 eps),Jan 2022 - Jan 2022,"75,443",7.80
Kuroko no Basket: Tip Off,Special (1 eps),Feb 2013 - Feb 2013,"105,927",7.80
Lucky☆Star: Original na Visual to Animation,OVA (1 eps),Sep 2008 - Sep 2008,"134,342",7.80
Lupin III: The First,Movie (1 eps),Dec 2019 - Dec 2019,"33,580",7.80
Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie (1 eps),Jun 2014 - Jun 2014,"30,043",7.80
Magi: Sinbad no Bouken,OVA (5 eps),May 2014 - Jul 2015,"137,972",7.80
Mahoujin Guruguru (2017),TV (24 eps),Jul 2017 - Dec 2017,"33,668",7.80
Meitantei Conan Movie 08: Ginyoku no Time Travel Recap,TV Special (1 eps),Apr 2004 - Apr 2004,"22,169",7.80
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,Special (1 eps),Apr 2010 - Apr 2010,"44,863",7.80
